,IIDNESS,SEED,iid_av,iid_max,0_av,0_max,1_av,1_max,2_av,2_max,3_av,3_max,4_av,4_max,5_av,5_max,6_av,6_max,7_av,7_max,8_av,8_max,9_av,9_max,noniid_av,std_over_labels
0,10.0,1.0,1.0006671114076051,7.0,1.1142374788970175,6.0,0.9344100197758735,9.0,1.1579339921685623,7.0,0.8807538963392534,6.0,0.9756561430201598,6.0,0.8854273416683747,6.0,1.2164445278768539,7.0,0.718212449015783,5.0,1.2818078237751613,6.0,0.8571428571428571,6.0,1.0022026529679897,0.17212271702587334
1,10.0,5.0,1.0006671114076051,7.0,1.0129431626336522,6.0,1.2458800263678314,6.0,1.1075890359873206,6.0,0.7339615802827111,6.0,1.0783567896538608,7.0,1.2174625947940152,6.0,0.9630185845691759,6.0,0.9097357687533251,6.0,1.0767185719711356,7.0,0.6554621848739496,6.0,1.0001128299886974,0.1818002462694276
2,10.0,10.0,1.0006671114076051,7.0,0.8103545301069218,5.0,0.8009228740936059,5.0,1.2586239045310461,6.0,0.6850308082638638,5.0,1.2324077596044123,7.0,1.2174625947940152,6.0,0.9123333959076403,5.0,1.0533782585564817,6.0,1.1792631978731485,6.0,0.907563025210084,5.0,1.005734034894122,0.19846363337517578
3,10.0,18.0,1.0006671114076051,6.0,1.0129431626336522,5.0,0.8454185893210283,5.0,1.3089688607122878,6.0,0.831823124320406,6.0,0.9243058197033093,6.0,0.7194097151055544,6.0,1.1657593392153183,7.0,1.0533782585564817,6.0,1.0254462590201292,6.0,1.1092436974789917,6.0,0.9996696826067157,0.1658838981825585
4,10.0,25.0,1.0006671114076051,7.0,0.7090602138435566,5.0,1.2458800263678314,7.0,1.5103486854372552,7.0,0.9296846683581007,5.0,1.0783567896538608,6.0,0.9961057593769215,6.0,1.2671297165383892,7.0,0.7660932789501684,5.0,0.6665400683630839,5.0,0.8067226890756303,5.0,0.9975921895964799,0.26291105601475956
5,20.0,1.0,1.0003334444814937,8.0,0.962228318210593,5.0,0.8008898776418243,5.0,1.157960981749528,6.0,0.7339449541284404,5.0,1.1810012836970476,6.0,1.1620936130966106,6.0,1.013727560718057,6.0,1.149241819632881,6.0,1.076693014313181,7.0,0.8067226890756303,5.0,1.0044504112263792,0.16166191464866825
6,20.0,5.0,1.0003334444814937,7.0,1.3167334880776536,7.0,0.8898776418242491,6.0,1.2586532410320956,6.0,0.9296636085626911,5.0,0.8729139922978177,6.0,0.9407424486972562,6.0,1.013727560718057,6.0,0.9098164405426975,5.0,0.8716086306344798,6.0,1.0084033613445378,5.0,1.0012140413731536,0.15126790657686495
7,20.0,10.0,1.0003334444814937,7.0,1.1648027009917705,5.0,0.8453837597330367,6.0,1.0572687224669604,6.0,0.4892966360856269,4.0,1.0783055198973042,6.0,1.6047959418953193,8.0,1.2164730728616684,7.0,0.7182761372705507,5.0,1.076693014313181,6.0,0.8571428571428571,5.0,1.0108438362658274,0.2895542522982324
8,20.0,18.0,1.0003334444814937,6.0,0.7090103397341211,5.0,0.6229143492769744,5.0,1.208307111390812,6.0,1.0275229357798166,6.0,0.975609756097561,6.0,1.1620936130966106,6.0,1.013727560718057,7.0,1.0534716679968077,7.0,1.1792352061525315,6.0,1.1092436974789917,6.0,1.0061136237722283,0.185639571273445
9,20.0,25.0,1.0003334444814937,8.0,1.0128719139058873,6.0,0.5339265850945495,4.0,1.157960981749528,7.0,1.418960244648318,7.0,0.6675224646983312,4.0,1.2174314041964491,6.0,1.2164730728616684,7.0,1.1013567438148444,6.0,0.8203375347148045,5.0,0.907563025210084,6.0,1.0054403970894463,0.25948953677134506
10,30.0,1.0,1.000277854959711,7.0,1.0127803231251506,8.0,1.0677966101694916,6.0,1.2586909614001438,7.0,0.831780055917987,6.0,0.8215158924205379,5.0,1.2173913043478262,6.0,0.9123823316437364,5.0,1.1012311901504788,6.0,1.025390625,6.0,0.7563025210084033,5.0,1.0005261815183757,0.16032754662675652
11,30.0,5.0,1.000277854959711,7.0,1.0634193392814082,6.0,1.1567796610169492,6.0,1.006952769120115,5.0,0.782851817334576,5.0,0.8728606356968215,5.0,0.9960474308300395,6.0,1.0137581462708183,5.0,1.0533515731874146,6.0,1.025390625,6.0,1.0084033613445378,6.0,0.997981535908268,0.09782322065467695
12,30.0,10.0,1.000277854959711,6.0,0.8608632746563781,6.0,0.9788135593220338,7.0,0.6545192999280748,5.0,0.929636533084809,6.0,0.8728606356968215,6.0,1.1067193675889329,6.0,1.1151339608979,7.0,1.2448700410396716,6.0,1.07666015625,6.0,1.1596638655462186,6.0,0.9999740694010839,0.16620943274217131
13,30.0,18.0,1.000277854959711,6.0,0.9621413069688932,6.0,1.0233050847457628,9.0,1.1579956844881323,7.0,0.929636533084809,6.0,0.8215158924205379,6.0,1.1067193675889329,5.0,0.9123823316437364,5.0,1.3406292749658002,7.0,0.9228515625,6.0,0.8067226890756303,6.0,0.9983899727482235,0.15560298798689418
14,30.0,25.0,1.000277854959711,6.0,1.0127803231251506,6.0,0.8008474576271186,5.0,1.3090385998561496,7.0,1.0274930102516309,8.0,0.6674816625916871,5.0,1.051383399209486,6.0,1.0644460535843592,6.0,0.813953488372093,5.0,1.23046875,6.0,1.0588235294117647,6.0,1.003671627402944,0.18560774073467168
15,40.0,1.0,1.0001666944490748,7.0,1.1142374788970175,6.0,1.2011863568956995,7.0,0.855944055944056,5.0,0.8317477575428105,5.0,1.026811180832858,5.0,1.1620043037196435,7.0,1.0644888763728526,6.0,0.9098164405426975,5.0,0.7177442324124181,5.0,1.1092436974789917,6.0,0.9993224380639043,0.1527878006198653
16,40.0,5.0,1.0001666944490748,7.0,1.1648846370287,7.0,1.0677212061295107,6.0,0.6041958041958042,5.0,0.8806740962217994,5.0,1.026811180832858,6.0,0.9960036889025515,5.0,0.963108983384962,6.0,0.8619313647246608,5.0,1.2816861293078894,7.0,1.1596638655462186,6.0,1.0006680956274956,0.18129164486486546
17,40.0,10.0,1.0001666944490748,7.0,0.911648846370287,5.0,1.2011863568956995,6.0,1.0573426573426574,5.0,1.1253057896167438,6.0,1.1294922989161438,7.0,0.8853366123578236,5.0,0.6589693044212898,4.0,0.8619313647246608,6.0,1.3842210196525206,7.0,0.7563025210084033,4.0,0.997173677130623,0.2096394050099318
18,40.0,18.0,1.0001666944490748,7.0,0.911648846370287,5.0,0.7563025210084033,5.0,1.0573426573426574,6.0,0.9296004349007883,5.0,1.2835139760410725,8.0,1.4940055333538271,7.0,0.8110391439031259,5.0,0.9577015163607342,6.0,0.9740814582739961,6.0,0.907563025210084,5.0,1.0082799112764975,0.21116024033604092
19,40.0,25.0,1.0001666944490748,6.0,1.6207090602138436,8.0,1.0677212061295107,6.0,0.7048951048951049,5.0,0.8806740962217994,6.0,0.9241300627495722,6.0,0.8300030740854596,5.0,0.8617290903970712,5.0,1.1013567438148444,8.0,0.9228140131016804,5.0,1.0588235294117647,6.0,0.9972855981020651,0.2376095347804419
20,50.0,1.0,1.000100010001,7.0,0.9115462525320729,5.0,1.0234351824384456,6.0,1.2084592145015105,6.0,0.7827788649706457,5.0,0.9756932557343375,6.0,1.1066027296200664,5.0,0.9631632308212233,6.0,0.7660389403127993,6.0,1.3328776486671223,8.0,0.957983193277311,5.0,1.0028578512875534,0.16719883119008658
21,50.0,5.0,1.000100010001,7.0,1.3673193787981093,7.0,0.8009492732126965,5.0,0.9566968781470292,6.0,1.0273972602739727,6.0,1.1297500855871276,8.0,1.1066027296200664,6.0,0.9631632308212233,6.0,0.8617938078518992,5.0,1.0252904989747096,6.0,0.8067226890756303,5.0,1.0045685832362465,0.1623621330915925
22,50.0,10.0,1.000100010001,7.0,0.7089804186360568,4.0,0.5784633639869475,4.0,0.8056394763343404,7.0,0.9295499021526419,5.0,0.9756932557343375,5.0,1.217263002582073,6.0,1.0645488340655627,6.0,1.5320778806255986,7.0,1.2303485987696514,6.0,1.0084033613445378,5.0,1.0050968094231747,0.2632609985540644
23,50.0,18.0,1.000100010001,7.0,1.4686022957461176,8.0,0.7564520913675468,5.0,1.0070493454179255,6.0,1.076320939334638,6.0,1.1811023622047243,6.0,1.0512725931390632,6.0,0.7603920243325448,5.0,0.8139163740823492,5.0,1.076555023923445,5.0,0.8571428571428571,5.0,1.0048805906691212,0.20935017314810075
24,50.0,25.0,1.000100010001,8.0,0.8102633355840648,5.0,0.934440818748146,5.0,1.3595166163141994,7.0,0.7827788649706457,5.0,0.9756932557343375,5.0,1.549243821468093,7.0,0.9631632308212233,6.0,0.5745292052345994,4.0,1.2303485987696514,6.0,0.907563025210084,6.0,1.0087540772855044,0.276082577782681
25,60.0,1.0,1.0001389081816918,6.0,0.810126582278481,5.0,0.8453837597330367,5.0,1.0570469798657718,6.0,1.2719119445576845,7.0,0.975609756097561,5.0,1.3278008298755186,7.0,0.6587837837837838,5.0,1.3886671987230645,7.0,0.7176420333190944,4.0,0.957983193277311,6.0,1.001095606151131,0.24375540107252947
26,60.0,5.0,1.0001389081816918,7.0,1.0126582278481013,6.0,1.2013348164627364,7.0,1.0570469798657718,6.0,1.1251528740317978,6.0,1.0783055198973042,6.0,0.9405255878284924,5.0,0.7094594594594594,5.0,1.1971268954509178,6.0,0.9739427595044853,6.0,0.6554621848739496,5.0,0.9951015305223014,0.17655046117233372
27,60.0,10.0,1.0001389081816918,7.0,0.9113924050632911,6.0,0.8008898776418243,5.0,1.3590604026845639,7.0,0.9294741133306156,5.0,1.1296534017971758,6.0,1.1065006915629323,5.0,1.0641891891891893,6.0,0.6225059856344772,4.0,1.0764630499786416,6.0,1.0588235294117647,5.0,1.0058952646294474,0.19108324603113855
28,60.0,18.0,1.0001389081816918,7.0,1.2151898734177216,7.0,0.6674082313681868,4.0,1.1073825503355705,6.0,0.9783938035059111,5.0,1.0269576379974326,6.0,1.272475795297372,7.0,1.4695945945945945,6.0,0.8619313647246608,4.0,1.1277231952157198,6.0,0.35294117647058826,3.0,1.007999822292776,0.30295741858411335
29,60.0,25.0,1.0001389081816918,7.0,1.0126582278481013,6.0,0.978865406006674,6.0,0.8053691275167785,5.0,0.8316347329800244,7.0,1.5917843388960204,6.0,0.719225449515906,5.0,1.3175675675675675,7.0,0.9098164405426975,6.0,0.615121742844938,4.0,1.2100840336134453,6.0,0.9992127067332153,0.28233324343588273
30,70.0,1.0,1.0001190617930706,7.0,0.7090602138435566,4.0,0.800790904597133,4.0,1.5604026845637584,8.0,1.076086956521739,6.0,0.6674272675413577,4.0,0.8850645359557467,5.0,0.8108108108108109,5.0,0.9574468085106383,6.0,1.4350797266514805,6.0,1.1092436974789917,5.0,1.0011413606475212,0.28404299855863263
31,70.0,5.0,1.0001190617930706,8.0,1.2661789532920653,6.0,0.4003954522985665,4.0,1.157718120805369,6.0,1.2228260869565217,6.0,1.1294922989161438,6.0,1.3275968039336201,7.0,0.9628378378378378,5.0,0.9574468085106383,6.0,0.6662870159453302,4.0,1.0084033613445378,5.0,1.009918273984063,0.27251317250870094
32,70.0,10.0,1.0001190617930706,8.0,0.9622960045019696,5.0,0.8897676717745922,5.0,0.9060402684563759,5.0,1.0271739130434783,7.0,0.8214489446662864,5.0,1.1616472034419176,5.0,0.8108108108108109,5.0,1.2925531914893618,6.0,0.9738041002277904,6.0,1.1596638655462186,5.0,1.0005205973958802,0.15123025225527933
33,70.0,18.0,1.0001190617930706,8.0,1.0635903207653348,6.0,0.8897676717745922,6.0,1.2080536912751678,6.0,1.0271739130434783,5.0,0.7701083856246435,5.0,0.9403810694529809,5.0,1.0641891891891893,5.0,0.7659574468085106,5.0,1.2813211845102506,7.0,1.0084033613445378,5.0,1.0018946233788686,0.15959220670065435
34,70.0,25.0,1.0001190617930706,7.0,1.2155317951603826,6.0,1.1122095897182402,7.0,1.0067114093959733,6.0,1.0271739130434783,5.0,0.975470621791215,4.0,1.2169637369391517,7.0,1.0135135135135136,6.0,0.6223404255319149,4.0,0.9225512528473804,5.0,0.907563025210084,5.0,1.0020029283151335,0.16273153339726143
35,80.0,1.0,1.0001041775184916,9.0,0.810126582278481,4.0,0.6671608598962194,4.0,1.0570469798657718,5.0,0.8801955990220048,5.0,1.6937553464499573,9.0,0.8847926267281107,6.0,1.4189189189189189,6.0,1.0534716679968077,5.0,0.7685738684884714,4.0,0.8067226890756303,4.0,1.0040765138720373,0.3046491019926859
36,80.0,5.0,1.0001041775184916,7.0,1.1139240506329113,6.0,0.9340252038547072,6.0,1.157718120805369,6.0,1.1246943765281174,5.0,0.6159110350727117,4.0,1.327188940092166,7.0,0.8108108108108109,5.0,0.9098164405426975,5.0,1.1272416737830915,5.0,0.907563025210084,6.0,1.0028893677332666,0.1951689444567429
37,80.0,10.0,1.0001041775184916,7.0,1.2151898734177216,6.0,1.156412157153447,6.0,0.8557046979865772,5.0,1.17359413202934,6.0,0.8725406330196749,5.0,0.7741935483870968,5.0,0.8614864864864865,5.0,1.3407821229050279,5.0,0.8198121263877028,5.0,0.8571428571428571,5.0,0.9926858634915933,0.19406732364239918
38,80.0,18.0,1.0001041775184916,7.0,1.1139240506329113,5.0,0.7116382505559674,5.0,0.9060402684563759,4.0,1.075794621026895,5.0,1.437125748502994,8.0,1.1059907834101383,6.0,0.9121621621621622,5.0,0.7182761372705507,4.0,1.0247651579846284,5.0,1.0588235294117647,5.0,1.0064540709414387,0.200937353592633
39,80.0,25.0,1.0001041775184916,7.0,1.4177215189873418,7.0,0.5337286879169756,4.0,0.9563758389261745,6.0,1.0268948655256724,5.0,0.8212147134302823,5.0,0.9953917050691244,6.0,1.3175675675675675,5.0,0.9098164405426975,5.0,1.178479931682323,5.0,0.907563025210084,5.0,1.0064754294858242,0.239890521491011
40,90.0,1.0,1.000111123458162,7.0,1.1129848229342327,4.0,0.8,4.0,1.0067114093959733,5.0,0.7817589576547231,4.0,0.9230769230769231,6.0,1.4917127071823204,7.0,0.8614864864864865,5.0,1.244019138755981,5.0,1.2798634812286689,5.0,0.5546218487394958,4.0,1.0056235775454803,0.26518647495074404
41,90.0,5.0,1.000111123458162,7.0,1.1129848229342327,5.0,0.8444444444444444,4.0,1.0067114093959733,5.0,1.0260586319218241,5.0,1.1282051282051282,5.0,0.8839779005524862,5.0,1.114864864864865,6.0,1.0526315789473684,6.0,0.8703071672354948,4.0,0.957983193277311,4.0,0.9998169141779127,0.10106146983202106
42,90.0,10.0,1.000111123458162,7.0,1.2141652613827993,6.0,0.8444444444444444,6.0,0.8557046979865772,5.0,0.6351791530944625,4.0,0.9743589743589743,6.0,1.2154696132596685,5.0,1.2668918918918919,6.0,0.8133971291866029,4.0,1.1262798634812288,6.0,1.1092436974789917,6.0,1.005513472656564,0.20116983121417106
43,90.0,18.0,1.000111123458162,7.0,1.163575042158516,6.0,0.8444444444444444,4.0,0.8053691275167785,4.0,0.9771986970684039,5.0,0.9230769230769231,6.0,0.994475138121547,5.0,1.2162162162162162,5.0,1.0526315789473684,5.0,0.9215017064846417,5.0,1.1092436974789917,4.0,1.000773257151383,0.12763730199171386
44,90.0,25.0,1.000111123458162,6.0,1.1129848229342327,6.0,0.8888888888888888,4.0,0.7550335570469798,4.0,0.8794788273615635,5.0,1.0256410256410255,5.0,1.3259668508287292,6.0,1.2162162162162162,5.0,1.1961722488038278,5.0,0.7679180887372014,5.0,0.8571428571428571,4.0,1.0025443383601522,0.19131007659492122
